3.00000e+02	7.90000e-01	2.75670e-12	2.10000e-01	7.63262e-13	3.35606e-12	9.33719e-13	9.33719e-13
4.98990e+02	7.90000e-01	1.22497e-17	2.10000e-01	4.70393e-24	5.06069e-10	3.55791e-52	3.55791e-52
6.97980e+02	7.90000e-01	4.84676e-32	2.10000e-01	1.44977e-16	2.69331e-07	2.64733e-37	2.64733e-37
8.96970e+02	7.89996e-01	3.65035e-25	2.09996e-01	2.20248e-12	8.85829e-06	5.35730e-29	5.35730e-29
1.09596e+03	7.89959e-01	4.30015e-18	2.09959e-01	1.03300e-09	8.20127e-05	2.55932e-21	2.55932e-21
1.29495e+03	7.89808e-01	1.24764e-16	2.09808e-01	7.39606e-08	3.83246e-04	5.40191e-20	5.40191e-20
1.49394e+03	7.89406e-01	4.61882e-14	2.09405e-01	1.70825e-06	1.18709e-03	2.83222e-17	2.83222e-17
1.69293e+03	7.88585e-01	4.28365e-12	2.08581e-01	1.89295e-05	2.81487e-03	3.46899e-15	3.46899e-15
1.89192e+03	7.87174e-01	1.53842e-10	2.07147e-01	1.26670e-04	5.55291e-03	1.56665e-13	1.56665e-13
2.09091e+03	7.84972e-01	2.80245e-09	2.04848e-01	5.90131e-04	9.59071e-03	3.46130e-12	3.46130e-12
2.28990e+03	7.81680e-01	3.08825e-08	2.01239e-01	2.09901e-03	1.49814e-02	4.49817e-11	4.49817e-11
2.48889e+03	7.76804e-01	2.32058e-07	1.95531e-01	6.06097e-03	2.16037e-02	3.89515e-10	3.89515e-10
2.68788e+03	7.69599e-01	1.29333e-06	1.86491e-01	1.48033e-02	2.91050e-02	2.45095e-09	2.45095e-09
2.88687e+03	7.59174e-01	5.68072e-06	1.72582e-01	3.14097e-02	3.68282e-02	1.19134e-08	1.19134e-08
3.08586e+03	7.44850e-01	2.05694e-05	1.52509e-01	5.88418e-02	4.37786e-02	4.67256e-08	4.67256e-08
3.28485e+03	7.26795e-01	6.35546e-05	1.26230e-01	9.81724e-02	4.87387e-02	1.52600e-07	1.52600e-07
3.48384e+03	7.06640e-01	1.72256e-04	9.60016e-02	1.46545e-01	5.06407e-02	4.24956e-07	4.24956e-07
3.68283e+03	6.87329e-01	4.19042e-04	6.63346e-02	1.96791e-01	4.91247e-02	1.02966e-06	1.02966e-06
3.88182e+03	6.71692e-01	9.32308e-04	4.19041e-02	2.40598e-01	4.48695e-02	2.21492e-06	2.21492e-06
4.08081e+03	6.60709e-01	1.92443e-03	2.48424e-02	2.73282e-01	3.92334e-02	4.32033e-06	4.32033e-06
4.27980e+03	6.53343e-01	3.72356e-03	1.43097e-02	2.95142e-01	3.34656e-02	7.79482e-06	7.79482e-06
4.47879e+03	6.47734e-01	6.80540e-03	8.24203e-03	3.08932e-01	2.82606e-02	1.32181e-05	1.32181e-05
