9.54694e+03	1.00000e+00	5.34444e-12	7.50800e-03	1.63395e-10	3.88593e-01	4.85331e-15	2.98055e-03	1.93722e-12	1.03662e-01	2.12791e-13	5.55761e-10	7.62865e-05	2.46282e-03	4.94718e-01
9.94898e+03	1.00000e+00	6.39599e-13	3.39181e-03	4.84304e-11	3.90457e-01	8.13880e-16	1.39445e-03	6.50677e-13	1.04642e-01	3.15058e-14	1.42060e-10	3.22184e-05	2.49245e-03	4.97591e-01
1.03510e+04	1.00000e+00	8.86311e-14	1.61716e-03	1.56319e-11	3.91250e-01	1.52928e-16	6.83778e-04	2.34252e-13	1.05088e-01	5.29770e-15	3.97869e-11	1.43591e-05	2.50402e-03	4.98842e-01
1.07531e+04	1.00000e+00	1.40778e-14	8.11256e-04	5.46523e-12	3.91607e-01	3.20395e-17	3.50967e-04	9.02572e-14	1.05300e-01	1.00445e-15	1.21529e-11	6.74954e-06	2.50875e-03	4.99416e-01
1.11551e+04	1.00000e+00	2.53256e-15	4.26374e-04	2.05529e-12	3.91776e-01	7.42139e-18	1.87954e-04	3.70432e-14	1.05405e-01	2.12620e-16	4.02079e-12	3.33399e-06	2.51078e-03	4.99691e-01
1.15571e+04	1.00000e+00	5.10076e-16	2.33765e-04	8.25642e-13	3.91859e-01	1.88355e-18	1.04637e-04	1.61061e-14	1.05459e-01	4.97445e-17	1.43080e-12	1.72324e-06	2.51169e-03	4.99830e-01
1.19592e+04	1.00000e+00	1.13810e-16	1.33166e-04	3.52035e-13	3.91903e-01	5.19371e-19	6.03463e-05	7.37918e-15	1.05488e-01	1.27437e-17	5.44035e-13	9.28153e-07	2.51212e-03	4.99903e-01
1.23612e+04	1.00000e+00	2.78681e-17	7.85372e-05	1.58405e-13	3.91926e-01	1.54398e-19	3.59375e-05	3.54513e-15	1.05504e-01	3.54487e-18	2.19726e-13	5.18982e-07	2.51233e-03	4.99943e-01
1.27633e+04	1.00000e+00	7.42663e-18	4.78018e-05	7.48395e-14	3.91939e-01	4.91469e-20	2.20360e-05	1.77804e-15	1.05513e-01	1.06270e-18	9.37665e-14	3.00247e-07	2.51244e-03	4.99965e-01
1.31653e+04	1.00000e+00	2.13805e-18	2.99417e-05	3.69590e-14	3.91947e-01	1.66494e-20	1.38769e-05	9.27314e-16	1.05518e-01	3.41071e-19	4.20806e-14	1.79186e-07	2.51249e-03	4.99978e-01
1.35673e+04	1.00000e+00	6.60591e-19	1.92525e-05	1.90022e-14	3.91952e-01	5.97050e-21	8.95461e-06	5.01149e-16	1.05522e-01	1.16503e-19	1.97772e-14	1.10021e-07	2.51252e-03	4.99986e-01
1.39694e+04	1.00000e+00	2.17766e-19	1.26799e-05	1.01355e-14	3.91954e-01	2.25557e-21	5.90905e-06	2.79776e-16	1.05524e-01	4.21321e-20	9.69774e-15	6.93386e-08	2.51254e-03	4.99991e-01
1.43714e+04	1.00000e+00	7.61938e-20	8.53692e-06	5.59087e-15	3.91956e-01	8.93903e-22	3.98040e-06	1.60899e-16	1.05525e-01	1.60561e-20	4.94470e-15	4.47609e-08	2.51255e-03	4.99994e-01
1.47735e+04	1.00000e+00	2.81631e-20	5.86519e-06	3.18045e-15	3.91957e-01	3.70227e-22	2.73261e-06	9.50883e-17	1.05526e-01	6.42095e-21	2.61373e-15	2.95419e-08	2.51255e-03	4.99996e-01
1.51755e+04	1.00000e+00	1.09506e-20	4.10556e-06	1.86116e-15	3.91958e-01	1.59704e-22	1.90919e-06	5.76201e-17	1.05526e-01	2.68451e-21	1.42838e-15	1.99010e-08	2.51256e-03	4.99997e-01
1.55776e+04	1.00000e+00	4.46204e-21	2.92386e-06	1.11786e-15	3.91959e-01	7.15349e-23	1.35575e-06	3.57305e-17	1.05527e-01	1.16943e-21	8.05028e-16	1.36635e-08	2.51256e-03	4.99998e-01
1.59796e+04	1.00000e+00	1.89876e-21	2.11583e-06	6.87749e-16	3.91959e-01	3.31806e-23	9.77384e-07	2.26338e-17	1.05527e-01	5.29180e-22	4.66856e-16	9.54823e-09	2.51256e-03	4.99998e-01
1.63816e+04	1.00000e+00	8.41172e-22	1.55398e-06	4.32631e-16	3.91959e-01	1.58981e-23	7.14580e-07	1.46232e-17	1.05527e-01	2.48064e-22	2.78010e-16	6.78317e-09	2.51256e-03	4.99999e-01
1.67837e+04	1.00000e+00	3.86846e-22	1.15717e-06	2.77805e-16	3.91959e-01	7.85112e-24	5.29327e-07	9.62216e-18	1.05527e-01	1.20163e-22	1.69678e-16	4.89351e-09	2.51256e-03	4.99999e-01
1.71857e+04	1.00000e+00	1.84204e-22	8.72826e-07	1.81826e-16	3.91959e-01	3.98810e-24	3.96925e-07	6.44010e-18	1.05527e-01	6.00136e-23	1.05955e-16	3.58145e-09	2.51256e-03	4.99999e-01
1.75878e+04	1.00000e+00	9.06008e-23	6.66285e-07	1.21139e-16	3.91960e-01	2.07993e-24	3.01068e-07	4.37923e-18	1.05527e-01	3.08392e-23	6.75865e-17	2.65680e-09	2.51256e-03	5.00000e-01
1.79898e+04	1.00000e+00	4.59297e-23	5.14345e-07	8.20524e-17	3.91960e-01	1.11187e-24	2.30823e-07	3.02225e-18	1.05527e-01	1.62749e-23	4.39744e-17	1.99602e-09	2.51256e-03	5.00000e-01
1.83918e+04	1.00000e+00	2.39506e-23	4.01236e-07	5.64416e-17	3.91960e-01	6.08293e-25	1.78759e-07	2.11484e-18	1.05528e-01	8.80547e-24	2.91445e-17	1.51757e-09	2.51256e-03	5.00000e-01
1.87939e+04	1.00000e+00	1.28234e-23	3.16090e-07	3.93884e-17	3.91960e-01	3.40110e-25	1.39755e-07	1.49919e-18	1.05528e-01	4.87670e-24	1.96513e-17	1.16684e-09	2.51256e-03	5.00000e-01
1.91959e+04	1.00000e+00	7.03752e-24	2.51320e-07	2.78610e-17	3.91960e-01	1.94095e-25	1.10240e-07	1.07579e-18	1.05528e-01	2.76066e-24	1.34649e-17	9.06727e-10	2.51256e-03	5.00000e-01
1.95980e+04	1.00000e+00	3.95274e-24	2.01561e-07	1.99580e-17	3.91960e-01	1.12924e-25	8.76923e-08	7.80845e-19	1.05528e-01	1.59530e-24	9.36576e-18	7.11679e-10	2.51256e-03	5.00000e-01
2.00000e+04	1.00000e+00	2.26893e-24	1.62978e-07	1.44674e-17	3.91960e-01	6.69044e-26	7.03118e-08	5.72902e-19	1.05528e-01	9.39910e-25	6.60678e-18	5.63887e-10	2.51256e-03	5.00000e-01
3.00000e+02	1.38950e+00	7.80000e-01	4.98983e-33	3.07100e-33	3.08442e-33	2.10000e-01	5.14996e-34	1.89648e-34	4.99902e-39	2.30066e-16	8.93953e-38	1.00000e-02	3.02975e-228	1.76318e-34
7.02041e+02	1.38950e+00	7.80000e-01	2.01478e-30	1.40701e-32	6.11560e-33	2.10000e-01	4.99735e-14	9.14885e-33	1.07610e-34	2.93137e-07	3.53087e-34	1.00000e-02	3.62983e-53	7.33669e-34
1.10408e+03	1.38950e+00	7.79956e-01	1.56082e-17	9.90959e-33	8.65374e-33	2.09956e-01	3.39921e-07	6.85476e-30	1.53677e-34	8.77344e-05	4.39854e-21	9.99944e-03	2.20051e-47	4.39854e-21
1.50612e+03	1.38950e+00	7.79170e-01	1.68107e-11	3.22122e-32	1.28880e-32	2.09049e-01	5.40302e-04	3.21060e-21	2.79268e-29	1.25071e-03	1.05337e-14	9.98936e-03	3.32968e-34	1.05337e-14
1.90816e+03	1.38950e+00	7.62935e-01	5.26743e-08	1.64232e-24	6.49635e-29	1.84989e-01	3.68664e-02	3.28625e-16	2.66844e-21	5.42834e-03	5.34612e-11	9.78122e-03	1.55476e-26	5.34616e-11
2.31020e+03	1.38950e+00	6.68470e-01	9.56542e-06	1.86713e-19	5.05672e-22	3.87048e-02	2.77907e-01	2.14482e-13	3.20185e-16	6.33761e-03	9.74848e-09	8.57020e-03	2.17502e-21	9.74869e-09
2.71224e+03	1.38950e+00	6.44668e-01	3.85416e-04	1.34382e-15	6.92312e-17	1.13464e-03	3.43388e-01	3.36635e-12	6.69497e-13	2.15534e-03	2.16453e-07	8.26745e-03	1.80352e-17	2.16457e-07
